run	period	kinematic	target
4253	lh2_cycle12	x60_4_lh2	LH2
4254	lh2_cycle12	x60_4_lh2	LH2
4255	lh2_cycle12	x60_4_lh2	LH2
4256	lh2_cycle12	x60_4_lh2	LH2
4257	lh2_cycle12	x60_4_lh2	LH2
4258	lh2_cycle12	x60_4_lh2	LH2
4259	lh2_cycle12	x60_4_lh2	LH2
4260	lh2_cycle12	x60_4_lh2	LH2
4261	lh2_cycle12	x60_4_lh2	LH2
4262	lh2_cycle12	x60_4_lh2	LH2
4263	lh2_cycle12	x60_4_lh2	LH2
4264	lh2_cycle12	x60_4_lh2	LH2
4265	lh2_cycle12	x60_4_lh2	LH2
4266	lh2_cycle12	x60_4_lh2	LH2
4267	lh2_cycle12	x60_4_lh2	LH2
4268	lh2_cycle12	x60_4_lh2	LH2
4269	lh2_cycle12	x60_4_lh2	LH2
4270	lh2_cycle12	x60_4_lh2	LH2
4300	lh2_cycle12	x60_4_lh2	LH2
4301	lh2_cycle12	x60_4_lh2	LH2
4302	lh2_cycle12	x60_4_lh2	LH2
4303	lh2_cycle12	x60_4_lh2	LH2
4304	lh2_cycle12	x60_4_lh2	LH2
4305	lh2_cycle12	x60_4_lh2	LH2
4306	lh2_cycle12	x60_4_lh2	LH2
4308	lh2_cycle12	x60_4_lh2	LH2
4309	lh2_cycle34	x60_4_lh2	LH2
4312	lh2_cycle34	x60_4_lh2	LH2
4313	lh2_cycle34	x60_4_lh2	LH2
4314	lh2_cycle34	x60_4_lh2	LH2
4315	lh2_cycle34	x60_4_lh2	LH2
4316	lh2_cycle34	x60_4_lh2	LH2
4317	lh2_cycle34	x60_4_lh2	LH2
4318	lh2_cycle34	x60_4_lh2	LH2
4319	lh2_cycle34	x60_4_lh2	LH2
4320	lh2_cycle34	x60_4_lh2	LH2
4321	lh2_cycle34	x60_4_lh2	LH2
4323	lh2_cycle34	x60_4_lh2	LH2
4324	lh2_cycle34	x60_4_lh2	LH2
4349	lh2_cycle34	x60_4_lh2	LH2
4350	lh2_cycle34	x60_4_lh2	LH2
4351	lh2_cycle34	x60_4_lh2	LH2
4352	lh2_cycle34	x60_4_lh2	LH2
4353	lh2_cycle34	x60_4_lh2	LH2
4354	lh2_cycle34	x60_4_lh2	LH2
4355	lh2_cycle34	x60_4_lh2	LH2
4356	lh2_cycle34	x60_4_lh2	LH2
4357	lh2_cycle34	x60_4_lh2	LH2
4358	lh2_cycle34	x60_4_lh2	LH2
4359	lh2_cycle34	x60_4_lh2	LH2
4360	lh2_cycle34	x60_4_lh2	LH2
4361	lh2_cycle34	x60_4_lh2	LH2
4362	lh2_cycle34	x60_4_lh2	LH2
4363	lh2_cycle34	x60_4_lh2	LH2
4364	lh2_cycle34	x60_4_lh2	LH2
4365	lh2_cycle34	x60_4_lh2	LH2
4366	lh2_cycle34	x60_4_lh2	LH2
4367	lh2_cycle34	x60_4_lh2	LH2
4368	lh2_cycle34	x60_4_lh2	LH2
4369	lh2_cycle34	x60_4_lh2	LH2
4370	lh2_cycle34	x60_4_lh2	LH2
4371	lh2_cycle34	x60_4_lh2	LH2
4372	lh2_cycle34	x60_4_lh2	LH2
4397	lh2_cycle34	x60_4_lh2	LH2
4398	lh2_cycle34	x60_4_lh2	LH2
4399	lh2_cycle34	x60_4_lh2	LH2
4400	lh2_cycle34	x60_4_lh2	LH2
4401	lh2_cycle34	x60_4_lh2	LH2
4402	lh2_cycle34	x60_4_lh2	LH2
4403	lh2_cycle34	x60_4_lh2	LH2
4404	lh2_cycle34	x60_4_lh2	LH2
4405	lh2_cycle56	x60_4_lh2	LH2
4406	lh2_cycle56	x60_4_lh2	LH2
4407	lh2_cycle56	x60_4_lh2	LH2
4408	lh2_cycle56	x60_4_lh2	LH2
4409	lh2_cycle56	x60_4_lh2	LH2
4410	lh2_cycle56	x60_4_lh2	LH2
4411	lh2_cycle56	x60_4_lh2	LH2
4414	lh2_cycle56	x60_4_lh2	LH2
4415	lh2_cycle56	x60_4_lh2	LH2
4417	lh2_cycle56	x60_4_lh2	LH2
4418	lh2_cycle56	x60_4_lh2	LH2
4419	lh2_cycle56	x60_4_lh2	LH2
4420	lh2_cycle56	x60_4_lh2	LH2
4422	lh2_cycle56	x60_4_lh2	LH2
4483	lh2_cycle56	x60_4_lh2	LH2
4484	lh2_cycle56	x60_4_lh2	LH2
4485	lh2_cycle56	x60_4_lh2	LH2
4487	lh2_cycle56	x60_4_lh2	LH2
4488	lh2_cycle56	x60_4_lh2	LH2
4489	lh2_cycle56	x60_4_lh2	LH2
4490	lh2_cycle56	x60_4_lh2	LH2
4491	lh2_cycle56	x60_4_lh2	LH2
4492	lh2_cycle56	x60_4_lh2	LH2
4493	lh2_cycle56	x60_4_lh2	LH2
4494	lh2_cycle56	x60_4_lh2	LH2
4495	lh2_cycle56	x60_4_lh2	LH2
4496	lh2_cycle56	x60_4_lh2	LH2
4498	lh2_cycle56	x60_4_lh2	LH2
4499	lh2_cycle56	x60_4_lh2	LH2
4500	lh2_cycle56	x60_4_lh2	LH2
4501	lh2_cycle56	x60_4_lh2	LH2
4502	lh2_cycle56	x60_4_lh2	LH2
4503	lh2_cycle56	x60_4_lh2	LH2
4504	lh2_cycle56	x60_4_lh2	LH2
4505	lh2_cycle56	x60_4_lh2	LH2
4506	lh2_cycle56	x60_4_lh2	LH2
4507	lh2_cycle56	x60_4_lh2	LH2
4508	lh2_cycle56	x60_4_lh2	LH2
4509	lh2_cycle56	x60_4_lh2	LH2
4551	lh2_cycle56	x60_4_lh2	LH2
4552	lh2_cycle56	x60_4_lh2	LH2
4555	lh2_cycle56	x60_4_lh2	LH2
4556	lh2_cycle56	x60_4_lh2	LH2
4557	lh2_cycle56	x60_4_lh2	LH2
4558	lh2_cycle56	x60_4_lh2	LH2
4559	lh2_cycle56	x60_4_lh2	LH2
4560	lh2_cycle56	x60_4_lh2	LH2
4561	lh2_cycle56	x60_4_lh2	LH2
4562	lh2_cycle56	x60_4_lh2	LH2
4563	lh2_cycle56	x60_4_lh2	LH2
4564	lh2_cycle56	x60_4_lh2	LH2
4565	lh2_cycle56	x60_4_lh2	LH2
4566	lh2_cycle56	x60_4_lh2	LH2
